"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 14-Aug-2024"
"NIFTY 50","24,607.25","24,673.65","24,596.90","24,619.35","24,631.30","-","11.95","0.05","27,01,62,203","22,375.35","26,277.35","21,743.65","-2.30","2.02"
"WIPRO","243.10","248.43","242.41","241.65","246.50","-","4.85","2.01","1,28,57,225","317.06","324.60","228.00","-6.08","-50.15"
"ETERNAL","313.00","319.80","310.65","312.35","317.70","-","5.35","1.71","4,58,92,250","1,451.16","319.80","194.80","21.36","-"
"INFY","1,426.20","1,470.00","1,426.20","1,426.60","1,448.00","-","21.40","1.50","1,29,02,347","1,873.25","2,006.45","1,307.00","-9.96","-20.60"
"HDFCLIFE","778.75","790.75","777.95","776.60","788.00","-","11.40","1.47","28,61,621","225.42","820.75","584.30","4.34","14.92"
"ASIANPAINT","2,505.00","2,534.90","2,497.70","2,500.20","2,530.00","-","29.80","1.19","10,88,550","274.24","3,394.90","2,124.75","4.90","-16.43"
"EICHERMOT","5,710.00","5,785.50","5,710.00","5,714.50","5,746.50","-","32.00","0.56","4,15,010","238.86","5,906.50","4,508.75","2.44","21.78"
"MARUTI","12,864.00","12,956.00","12,825.00","12,834.00","12,905.00","-","71.00","0.55","3,18,580","411.05","13,541.65","10,725.00","2.96","5.98"
"TITAN","3,476.50","3,505.80","3,464.10","3,466.80","3,485.00","-","18.20","0.52","5,97,987","208.53","3,867.00","2,925.00","2.11","2.56"
"GRASIM","2,745.90","2,770.00","2,731.10","2,745.90","2,760.10","-","14.20","0.52","6,18,912","170.36","2,896.00","2,276.95","0.09","10.05"
"ICICIBANK","1,412.00","1,431.10","1,412.00","1,420.80","1,427.60","-","6.80","0.48","75,77,793","1,080.90","1,500.00","1,153.00","0.06","22.87"
"HDFCBANK","1,978.00","1,996.00","1,971.20","1,980.30","1,989.50","-","9.20","0.46","87,55,858","1,742.57","2,037.70","1,603.20","-0.26","23.84"
"SBIN","822.00","828.00","819.10","821.85","825.50","-","3.65","0.44","70,87,573","585.45","875.45","680.00","-0.62","2.93"
"BAJAJFINSV","1,914.40","1,939.10","1,912.50","1,914.40","1,920.60","-","6.20","0.32","7,65,742","147.60","2,135.00","1,523.25","-5.45","25.89"
"BAJFINANCE","860.00","866.90","855.45","860.00","862.00","-","2.00","0.23","53,79,250","462.79","978.80","642.50","-6.54","-86.66"
"BHARTIARTL","1,873.00","1,883.00","1,866.80","1,867.40","1,871.00","-","3.60","0.19","39,58,631","742.35","2,045.80","1,446.50","-3.24","27.32"
"AXISBANK","1,067.00","1,072.40","1,062.00","1,066.00","1,068.00","-","2.00","0.19","67,61,305","722.21","1,281.65","933.50","-8.58","-7.36"
"APOLLOHOSP","7,830.00","7,859.50","7,749.00","7,808.50","7,821.50","-","13.00","0.17","6,73,142","525.55","7,859.50","6,001.00","6.38","20.04"
"POWERGRID","289.05","290.15","287.15","288.20","288.65","-","0.45","0.16","84,64,495","244.44","366.25","247.30","-2.81","-13.43"
"SBILIFE","1,842.10","1,853.70","1,832.20","1,840.30","1,843.30","-","3.00","0.16","4,68,063","86.21","1,936.00","1,372.55","0.63","8.78"
"CIPLA","1,562.50","1,574.80","1,552.00","1,561.00","1,563.00","-","2.00","0.13","25,35,958","396.38","1,702.05","1,335.00","5.98","0.01"
"TATAMOTORS","666.00","666.55","657.70","663.75","664.00","-","0.25","0.04","62,50,494","414.05","1,142.00","535.75","-2.12","-37.44"
"ADANIENT","2,288.00","2,304.00","2,267.70","2,280.10","2,280.10","-","-","-","9,98,109","228.13","3,211.00","2,025.00","-12.53","-24.95"
"SUNPHARMA","1,639.80","1,651.10","1,632.20","1,639.80","1,638.60","-","-1.20","-0.07","17,38,094","285.00","1,960.35","1,553.05","-3.50","-5.76"
"DRREDDY","1,255.10","1,266.00","1,250.20","1,253.40","1,251.00","-","-2.40","-0.19","16,03,933","201.92","1,421.49","1,020.00","0.08","-81.47"
"NTPC","339.95","340.45","336.30","339.95","339.00","-","-0.95","-0.28","56,89,423","192.58","448.45","292.80","-0.91","-14.38"
"RELIANCE","1,377.30","1,380.70","1,370.10","1,382.60","1,372.90","-","-4.20","-0.30","71,26,128","979.96","1,551.00","1,114.85","-7.53","-53.01"
"KOTAKBANK","1,988.00","1,993.50","1,975.50","1,987.70","1,980.00","-","-7.70","-0.39","19,84,593","393.53","2,301.90","1,679.05","-9.23","13.18"
"TCS","3,034.00","3,055.90","3,019.10","3,036.20","3,022.50","-","-13.70","-0.45","33,42,174","1,013.52","4,592.25","2,991.60","-6.52","-29.64"
"BAJAJ-AUTO","8,250.00","8,280.00","8,198.00","8,248.50","8,210.50","-","-38.00","-0.46","3,64,270","299.49","12,774.00","7,089.35","-1.07","-15.76"
"INDUSINDBK","773.45","779.80","765.70","773.45","769.75","-","-3.70","-0.48","18,59,573","143.62","1,498.00","606.00","-12.50","-42.47"
"M&M","3,273.20","3,313.50","3,262.00","3,282.20","3,265.00","-","-17.20","-0.52","15,08,721","494.35","3,313.50","2,425.00","2.16","18.95"
"COALINDIA","386.10","386.85","382.55","386.10","384.10","-","-2.00","-0.52","40,34,887","155.10","543.55","349.25","-0.52","-23.83"
"SHRIRAMFIN","614.30","622.90","611.50","619.25","615.90","-","-3.35","-0.54","42,79,172","263.40","730.45","493.35","-7.77","-78.71"
"TRENT","5,424.00","5,440.00","5,360.00","5,398.50","5,367.50","-","-31.00","-0.57","6,97,401","376.22","8,345.00","4,488.00","-0.21","-16.59"
"LT","3,700.00","3,708.50","3,641.70","3,693.70","3,672.10","-","-21.60","-0.58","17,69,702","649.41","3,963.50","2,965.30","4.94","3.72"
"ITC","414.25","415.05","411.00","414.10","411.45","-","-2.65","-0.64","95,80,361","395.16","528.50","390.15","-3.10","-16.41"
"HINDUNILVR","2,498.90","2,509.00","2,473.20","2,495.10","2,479.00","-","-16.10","-0.65","11,04,362","275.05","3,035.00","2,136.00","-1.47","-8.87"
"HINDALCO","701.00","702.35","688.00","700.50","695.70","-","-4.80","-0.69","41,79,259","289.77","772.65","546.45","4.27","11.88"
"JSWSTEEL","1,055.00","1,058.10","1,038.90","1,053.70","1,046.00","-","-7.70","-0.73","8,70,899","91.04","1,074.90","880.00","1.52","17.43"
"NESTLEIND","1,099.90","1,103.00","1,084.70","1,096.90","1,088.50","-","-8.40","-0.77","9,41,698","102.71","1,389.00","1,055.00","-55.72","-55.98"
"HCLTECH","1,501.00","1,516.20","1,485.80","1,501.10","1,489.00","-","-12.10","-0.81","42,27,538","634.73","2,012.20","1,302.75","-4.67","-8.38"
"ULTRACEMCO","12,413.00","12,428.00","12,225.00","12,401.00","12,299.00","-","-102.00","-0.82","2,35,741","289.82","12,714.00","10,047.85","-1.09","11.95"
"BEL","387.85","388.00","382.55","388.85","384.70","-","-3.25","-0.84","80,46,552","309.31","436.00","240.25","-5.23","31.05"
