"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 14-Aug-2024"
"MUTHOOTFIN","2,730.00","2,800.00","2,671.30","2,509.90","2,754.70","-","244.80","9.75","87,65,092","2,420.92","2,800.00","1,756.05","4.04","51.80"
"MANAPPURAM","260.00","268.00","258.70","255.90","265.00","-","9.60","3.76","1,75,32,209","463.01","284.90","138.35","-1.61","32.00"
"KALYANKJIL","517.00","546.30","511.45","515.65","533.00","-","17.35","3.36","1,62,35,146","867.05","795.40","399.40","-9.61","-6.17"
"NAUKRI","1,329.00","1,385.50","1,319.50","1,325.90","1,369.20","-","43.30","3.27","67,56,189","914.79","1,825.78","1,157.00","-2.01","-81.13"
"UNOMINDA","1,114.50","1,154.00","1,114.40","1,114.40","1,147.80","-","33.40","3.00","18,60,177","212.02","1,255.00","767.60","2.71","3.87"
"GMRAIRPORT","88.74","90.90","88.74","88.65","90.77","-","2.12","2.39","72,83,392","65.72","98.23","67.75","-3.32","-"
"WIPRO","243.10","248.43","242.41","241.65","246.50","-","4.85","2.01","1,28,57,225","317.06","324.60","228.00","-6.08","-50.15"
"ASHOKLEY","120.00","124.00","119.29","119.73","122.12","-","2.39","2.00","1,90,20,549","231.69","132.33","95.93","-2.12","-50.51"
"ETERNAL","313.00","319.80","310.65","312.35","317.70","-","5.35","1.71","4,58,92,250","1,451.16","319.80","194.80","21.36","-"
"AUBANK","744.00","752.55","740.55","738.00","749.80","-","11.80","1.60","26,21,099","196.43","841.00","478.35","-5.91","24.47"
"INFY","1,426.20","1,470.00","1,426.20","1,426.60","1,448.00","-","21.40","1.50","1,29,02,347","1,873.25","2,006.45","1,307.00","-9.96","-20.60"
